TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.177mm"
 I=451, J=129, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 4.495799914E-02 0.000000000E+00 -1.098193283E+02 -5.389535427E+00
 4.513499886E-02 0.000000000E+00 -1.077710724E+02 -6.205224514E+00
 4.531199858E-02 0.000000000E+00 -1.054352112E+02 -6.908392429E+00
 4.548899829E-02 0.000000000E+00 -1.028867722E+02 -7.146691322E+00
 4.566600174E-02 0.000000000E+00 -1.004728470E+02 -7.011153698E+00
 4.584300146E-02 0.000000000E+00 -9.789830017E+01 -6.715418816E+00
 4.602000117E-02 0.000000000E+00 -9.484886932E+01 -6.296965122E+00
 4.619700089E-02 0.000000000E+00 -9.168572998E+01 -6.078763485E+00
 4.637400061E-02 0.000000000E+00 -8.875421906E+01 -6.256264687E+00
 4.655100033E-02 0.000000000E+00 -8.566645050E+01 -6.759397030E+00
 4.672800004E-02 0.000000000E+00 -8.214072418E+01 -7.693060875E+00
 4.690499976E-02 0.000000000E+00 -7.851966858E+01 -8.477187157E+00
 4.708199948E-02 0.000000000E+00 -7.520954132E+01 -8.644986153E+00
 4.725899920E-02 0.000000000E+00 -7.237526703E+01 -8.249349594E+00
 4.743599892E-02 0.000000000E+00 -7.001229095E+01 -7.741337299E+00
 4.761299863E-02 0.000000000E+00 -6.791397858E+01 -7.554939270E+00
 4.778999835E-02 0.000000000E+00 -6.557387543E+01 -7.343730450E+00
 4.796700180E-02 0.000000000E+00 -6.301279068E+01 -6.481194973E+00
 4.814400151E-02 0.000000000E+00 -6.048752594E+01 -5.083396435E+00
 4.832100123E-02 0.000000000E+00 -5.805691147E+01 -4.002694130E+00
 4.849800095E-02 0.000000000E+00 -5.570005035E+01 -3.658201933E+00
 4.867500067E-02 0.000000000E+00 -5.319395447E+01 -3.689925432E+00
 4.885200039E-02 0.000000000E+00 -5.046018982E+01 -3.874215126E+00
 4.902900010E-02 0.000000000E+00 -4.751209259E+01 -4.335964203E+00
 4.920599982E-02 0.000000000E+00 -4.458834076E+01 -4.884638786E+00
 4.938299954E-02 0.000000000E+00 -4.180450439E+01 -5.107936382E+00
 4.955999926E-02 0.000000000E+00 -3.923307800E+01 -4.598481655E+00
 4.973699898E-02 0.000000000E+00 -3.699536133E+01 -3.644392490E+00
 4.991399869E-02 0.000000000E+00 -3.505086517E+01 -2.990657330E+00
 5.009099841E-02 0.000000000E+00 -3.320909882E+01 -2.837689638E+00
 5.026800185E-02 0.000000000E+00 -3.116489220E+01 -3.296425343E+00
 5.044500157E-02 0.000000000E+00 -2.867285728E+01 -4.335008621E+00
 5.062200129E-02 0.000000000E+00 -2.569432259E+01 -5.353182793E+00
 5.079900101E-02 0.000000000E+00 -2.220820236E+01 -6.048794746E+00
 5.097600073E-02 0.000000000E+00 -1.829554367E+01 -6.481922150E+00
 5.115300044E-02 0.000000000E+00 -1.430794907E+01 -6.351722717E+00
 5.133000016E-02 0.000000000E+00 -1.041472054E+01 -5.547740936E+00
 5.150699988E-02 0.000000000E+00 -6.571711063E+00 -4.397927284E+00
 5.168399960E-02 0.000000000E+00 -2.863807917E+00 -2.994619131E+00
 5.186099932E-02 0.000000000E+00 5.789039731E-01 -1.591856480E+00
 5.203799903E-02 0.000000000E+00 3.537681580E+00 -6.780055761E-01
 5.221499875E-02 0.000000000E+00 5.796585083E+00 -4.261142910E-01
 5.239199847E-02 0.000000000E+00 7.324193954E+00 -4.660902917E-01
 5.256899819E-02 0.000000000E+00 8.446893692E+00 -1.696008742E-01
 5.274600163E-02 0.000000000E+00 9.760260582E+00 5.200905204E-01
 5.292300135E-02 0.000000000E+00 1.191049004E+01 1.524803162E+00
 5.310000107E-02 0.000000000E+00 1.490409470E+01 2.268535137E+00
 5.327700078E-02 0.000000000E+00 1.840711212E+01 2.437870502E+00
 5.345400050E-02 0.000000000E+00 2.212539673E+01 2.487893343E+00
 5.363100022E-02 0.000000000E+00 2.555002213E+01 2.086726665E+00
 5.380799994E-02 0.000000000E+00 2.841508484E+01 1.166315079E+00
 5.398499966E-02 0.000000000E+00 3.056180191E+01 3.634522483E-02
 5.416199937E-02 0.000000000E+00 3.208589935E+01 -1.080887675E+00
 5.433899909E-02 0.000000000E+00 3.355197906E+01 -1.450541854E+00
 5.451599881E-02 0.000000000E+00 3.522011566E+01 -1.038720965E+00
 5.469299853E-02 0.000000000E+00 3.707756424E+01 -3.885000348E-01
 5.486999825E-02 0.000000000E+00 3.911479950E+01 3.984870911E-01
 5.504700169E-02 0.000000000E+00 4.111036301E+01 1.057372451E+00
 5.522400141E-02 0.000000000E+00 4.300386047E+01 1.692768574E+00
 5.540100113E-02 0.000000000E+00 4.481584167E+01 1.942961216E+00
 5.557800084E-02 0.000000000E+00 4.659977341E+01 1.494119167E+00
 5.575500056E-02 0.000000000E+00 4.877303696E+01 1.022506237E+00
 5.593200028E-02 0.000000000E+00 5.138360596E+01 2.880296111E-01
 5.610900000E-02 0.000000000E+00 5.438114929E+01 -7.647187710E-01
 5.628599972E-02 0.000000000E+00 5.771196365E+01 -1.622794390E+00
 5.646299943E-02 0.000000000E+00 6.136529160E+01 -2.057206392E+00
 5.663999915E-02 0.000000000E+00 6.518611145E+01 -1.844386101E+00
 5.681699887E-02 0.000000000E+00 6.921010590E+01 -1.088120818E+00
 5.699399859E-02 0.000000000E+00 7.338424683E+01 -1.672898680E-01
 5.717099831E-02 0.000000000E+00 7.746128082E+01 1.857084632E-01
 5.734800175E-02 0.000000000E+00 8.107570648E+01 6.250561774E-02
 5.752500147E-02 0.000000000E+00 8.442173004E+01 -1.953707822E-02
 5.770200118E-02 0.000000000E+00 8.776889801E+01 -3.915390745E-02
 5.787900090E-02 0.000000000E+00 9.148213196E+01 -4.063366726E-02
 5.805600062E-02 0.000000000E+00 9.538680267E+01 -3.803049922E-01
 5.823300034E-02 0.000000000E+00 9.870672607E+01 -1.290226817E+00
 5.841000006E-02 0.000000000E+00 1.019835663E+02 -2.449106455E+00
 5.858699977E-02 0.000000000E+00 1.051534424E+02 -3.372792006E+00
 5.876399949E-02 0.000000000E+00 1.078680496E+02 -3.905276775E+00
 5.894099921E-02 0.000000000E+00 1.102173843E+02 -3.968761683E+00
 5.911799893E-02 0.000000000E+00 1.124364700E+02 -3.816651821E+00
 5.929499865E-02 0.000000000E+00 1.147992096E+02 -3.790965796E+00
 5.947199836E-02 0.000000000E+00 1.172967758E+02 -3.828991413E+00
 5.964900181E-02 0.000000000E+00 1.198944321E+02 -3.927985191E+00
 5.982600152E-02 0.000000000E+00 1.225607224E+02 -4.045963764E+00
 6.000300124E-02 0.000000000E+00 1.252151489E+02 -4.065237522E+00
 6.018000096E-02 0.000000000E+00 1.277135162E+02 -3.977010727E+00
 6.035700068E-02 0.000000000E+00 1.301150970E+02 -3.872841835E+00
 6.053400040E-02 0.000000000E+00 1.325760345E+02 -3.829223871E+00
 6.071100011E-02 0.000000000E+00 1.350632172E+02 -3.904934168E+00
 6.088799983E-02 0.000000000E+00 1.374809265E+02 -4.048277855E+00
 6.106499955E-02 0.000000000E+00 1.397423859E+02 -4.053661346E+00
 6.124199927E-02 0.000000000E+00 1.419133606E+02 -3.820955038E+00
 6.141899899E-02 0.000000000E+00 1.441630707E+02 -3.444235802E+00
 6.159599870E-02 0.000000000E+00 1.465018463E+02 -3.107200384E+00
 6.177299842E-02 0.000000000E+00 1.488436432E+02 -2.953510284E+00
 6.194999814E-02 0.000000000E+00 1.511599121E+02 -3.018182278E+00
 6.212700158E-02 0.000000000E+00 1.534993591E+02 -3.333802462E+00
 6.230400130E-02 0.000000000E+00 1.558838196E+02 -3.864258289E+00
