TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.25mm"
 I=321, J=91, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 6.449999660E-02 0.000000000E+00 1.473745422E+02 9.325771332E-01
 6.475000083E-02 0.000000000E+00 1.507082367E+02 8.352086544E-01
 6.499999762E-02 0.000000000E+00 1.542185974E+02 7.624670267E-01
 6.525000185E-02 0.000000000E+00 1.580399780E+02 7.367065549E-01
 6.549999863E-02 0.000000000E+00 1.620533447E+02 6.273097396E-01
 6.575000286E-02 0.000000000E+00 1.660217285E+02 5.275081396E-01
 6.599999964E-02 0.000000000E+00 1.698794861E+02 5.924543142E-01
 6.624999642E-02 0.000000000E+00 1.736354980E+02 7.877085805E-01
 6.650000066E-02 0.000000000E+00 1.772075500E+02 9.896045327E-01
 6.674999744E-02 0.000000000E+00 1.805911407E+02 1.199929595E+00
 6.700000167E-02 0.000000000E+00 1.839860840E+02 1.379575610E+00
 6.724999845E-02 0.000000000E+00 1.874291229E+02 1.322706223E+00
 6.750000268E-02 0.000000000E+00 1.908576508E+02 1.054611325E+00
 6.774999946E-02 0.000000000E+00 1.943241730E+02 7.557954192E-01
 6.800000370E-02 0.000000000E+00 1.978016052E+02 5.243334770E-01
 6.825000048E-02 0.000000000E+00 2.013250732E+02 4.312598407E-01
 6.849999726E-02 0.000000000E+00 2.049568329E+02 3.851113021E-01
 6.875000149E-02 0.000000000E+00 2.087151642E+02 3.214583099E-01
 6.899999827E-02 0.000000000E+00 2.125450439E+02 3.373729289E-01
 6.925000250E-02 0.000000000E+00 2.162536774E+02 4.771152139E-01
 6.949999928E-02 0.000000000E+00 2.197503815E+02 7.394348383E-01
 6.975000352E-02 0.000000000E+00 2.231856689E+02 1.049913883E+00
 7.000000030E-02 0.000000000E+00 2.267014160E+02 1.370678425E+00
 7.024999708E-02 0.000000000E+00 2.300534210E+02 1.681265116E+00
 7.050000131E-02 0.000000000E+00 2.333039093E+02 1.955734491E+00
 7.074999809E-02 0.000000000E+00 2.365850983E+02 2.117417812E+00
 7.100000232E-02 0.000000000E+00 2.398066254E+02 2.147263050E+00
 7.124999911E-02 0.000000000E+00 2.430832977E+02 2.167912245E+00
 7.150000334E-02 0.000000000E+00 2.463664856E+02 2.168521404E+00
 7.175000012E-02 0.000000000E+00 2.496466827E+02 2.135598660E+00
 7.199999690E-02 0.000000000E+00 2.529128265E+02 2.135285616E+00
 7.225000113E-02 0.000000000E+00 2.561489563E+02 2.184034824E+00
 7.249999791E-02 0.000000000E+00 2.594110107E+02 2.203389406E+00
 7.275000215E-02 0.000000000E+00 2.626526794E+02 2.136855125E+00
 7.299999893E-02 0.000000000E+00 2.658252563E+02 2.028028250E+00
 7.325000316E-02 0.000000000E+00 2.689768372E+02 1.938199043E+00
 7.349999994E-02 0.000000000E+00 2.721443176E+02 1.839433670E+00
 7.374999672E-02 0.000000000E+00 2.754265747E+02 1.698958397E+00
 7.400000095E-02 0.000000000E+00 2.788216858E+02 1.532725930E+00
 7.424999774E-02 0.000000000E+00 2.821577759E+02 1.395072341E+00
 7.450000197E-02 0.000000000E+00 2.854591675E+02 1.360791683E+00
 7.474999875E-02 0.000000000E+00 2.887431946E+02 1.366296649E+00
 7.500000298E-02 0.000000000E+00 2.919491272E+02 1.369804621E+00
 7.524999976E-02 0.000000000E+00 2.951155701E+02 1.476060152E+00
 7.549999654E-02 0.000000000E+00 2.981151123E+02 1.629504442E+00
 7.575000077E-02 0.000000000E+00 3.009072571E+02 1.703441739E+00
 7.599999756E-02 0.000000000E+00 3.037193604E+02 1.712792873E+00
 7.625000179E-02 0.000000000E+00 3.065993042E+02 1.698171258E+00
 7.649999857E-02 0.000000000E+00 3.094357300E+02 1.667681813E+00
 7.675000280E-02 0.000000000E+00 3.122095032E+02 1.684213161E+00
 7.699999958E-02 0.000000000E+00 3.149890137E+02 1.693408370E+00
 7.724999636E-02 0.000000000E+00 3.177417297E+02 1.668673635E+00
 7.750000060E-02 0.000000000E+00 3.204027710E+02 1.651752114E+00
 7.774999738E-02 0.000000000E+00 3.229738159E+02 1.588797450E+00
 7.800000161E-02 0.000000000E+00 3.254840088E+02 1.540011287E+00
 7.824999839E-02 0.000000000E+00 3.279881287E+02 1.412761331E+00
 7.850000262E-02 0.000000000E+00 3.305640869E+02 1.184361696E+00
 7.874999940E-02 0.000000000E+00 3.331436157E+02 9.252086878E-01
 7.900000364E-02 0.000000000E+00 3.357195129E+02 7.424450517E-01
 7.925000042E-02 0.000000000E+00 3.382571716E+02 5.642094612E-01
 7.949999720E-02 0.000000000E+00 3.406530457E+02 3.951443434E-01
 7.975000143E-02 0.000000000E+00 3.430828247E+02 2.054121941E-01
 7.999999821E-02 0.000000000E+00 3.455299072E+02 -3.202356398E-02
 0.000000000E+00 2.500000119E-04 4.580551147E+02 2.063438892E+00
 2.500000119E-04 2.500000119E-04 4.734988708E+02 4.007215977E+00
 5.000000237E-04 2.500000119E-04 4.985850220E+02 9.271809578E+00
 7.500000065E-04 2.500000119E-04 5.368194580E+02 1.953791809E+01
 1.000000047E-03 2.500000119E-04 5.845032959E+02 3.354732895E+01
